id,name,description,category,price,in_stock,rating,review_count,sku,manufacturer,country
1,Мотыга,"🔨 Мотыга садовая «Земледел» — точность и надёжность в каждом взмахе

Мотыга «Земледел» — это классический инструмент для настоящего садовода. Она создана для рыхления, окучивания, удаления сорняков и подготовки почвы к посадке. Эргономичный дизайн, высокопрочные материалы и идеальный баланс делают эту мотыгу незаменимой на любом дачном участке.

Рабочая часть изготовлена из закалённой углеродистой стали с антикоррозийным покрытием, что обеспечивает долгий срок службы и устойчивость к ржавчине. Деревянная ручка тщательно отшлифована, покрыта лаком и удобно ложится в руку, снижая усталость при длительной работе.

Технические характеристики:
	•	Материал рабочей части: закалённая сталь
	•	Покрытие: антикоррозийное защитное
	•	Ширина лезвия: 14 см
	•	Длина черенка: 120 см
	•	Материал черенка: древесина (ясень), покрытая защитным лаком
	•	Вес: 850 г
	•	Тип крепления: надёжное металлическое гнездо без люфта

Преимущества:
	•	Острые грани лезвия легко входят в почву, облегчая рыхление.
	•	Надёжная сборка — ничего не шатается, не выпадает.
	•	Долговечность: выдерживает большие нагрузки, не деформируется.
	•	Идеальна как для лёгкой, так и для тяжёлой почвы.

Мотыга «Земледел» — это классика, проверенная временем. Используйте то, что действительно работает.",Товары для дачи,1283,Да,4.0,1170,DDD-3333,ТехноТулс,Германия
2,Теплица,"🌱 Теплица «Урожай-6» — ваш надёжный союзник в борьбе за богатый урожай

Теплица «Урожай-6» — это прочная и функциональная конструкция, предназначенная для круглогодичного выращивания овощей, зелени, рассады и даже цветов. Она создаёт идеальный микроклимат для растений, защищая их от неблагоприятных погодных условий: ветра, дождя, града и заморозков.

Каркас выполнен из оцинкованной стали, устойчив к коррозии и рассчитан на многолетнее использование без дополнительной обработки. Покрытие — сотовый поликарбонат толщиной 4 мм, который хорошо удерживает тепло, пропускает свет и служит естественным фильтром от ультрафиолета.

Характеристики:
	•	Габариты: 3 м (ширина) × 6 м (длина) × 2 м (высота в коньке)
	•	Площадь теплицы: 18 м²
	•	Каркас: оцинкованный профиль 20×20 мм
	•	Покрытие: поликарбонат 4 мм, светопропускаемость до 85%
	•	Ветростойкость: до 24 м/с
	•	Снеговая нагрузка: до 120 кг/м²
	•	Двери и форточки: по 2 с каждой стороны (для вентиляции)
	•	Срок службы: до 15 лет

Преимущества:
	•	Простая сборка без сварки и специнструментов — все крепления в комплекте.
	•	Укреплённый каркас выдерживает снежные зимы и сильный ветер.
	•	Защищает урожай от насекомых, болезней и перепадов температур.
	•	Оптимальная высота — удобно работать внутри, не сгибаясь.
	•	Возможно удлинение теплицы кратно 2 метрам — под ваши задачи.

«Урожай-6» — это не просто теплица, это миниатюрная ферма прямо у вас на участке. Создайте свой островок плодородия и стабильности, независимо от погодных капризов.
",Товары для дачи,4884,Нет,4.0,357,AAA-0000,Зелёный Дом,Китай
3,Тачка,"🛒 Тачка садовая двухколёсная «Титан 120»

Мощная и устойчивая садовая тачка, спроектированная для транспортировки тяжёлых и габаритных грузов. Незаменима в хозяйстве: будь то перевозка грунта, строительных материалов, дров, компоста или урожая — «Титан 120» справится с любой задачей. Конструкция с двумя пневматическими колёсами обеспечивает повышенную устойчивость и облегчает передвижение даже по рыхлому или неровному грунту.

Корпус изготовлен из оцинкованной стали, защищённой от ржавчины и механических повреждений. Усиленное дно выдерживает большие нагрузки, а эргономичные рукоятки с прорезиненными накладками обеспечивают надёжный хват и комфорт при работе.

Технические характеристики:
	•	Тип: садовая тачка
	•	Объём корыта: 120 литров
	•	Грузоподъёмность: до 200 кг
	•	Материал корыта: оцинкованная сталь (толщина 1.0 мм)
	•	Колёса: 2 пневматических (диаметр 38 см)
	•	Материал рамы: стальная труба, порошковая окраска
	•	Длина: 145 см
	•	Ширина: 60 см
	•	Вес: 14 кг
	•	Производитель: Титан Хаус Индастриз

Сочетает в себе надёжность, объём и устойчивость. Идеальный выбор для тех, кто ценит качество и практичность в мелкой сельхозтехнике.",Товары для дачи,2523,Да,4.7,878,DDD-3333,Зелёный Дом,Беларусь
4,Тачка,"🛒 Тачка садовая двухколёсная «Титан 120»

Мощная и устойчивая садовая тачка, спроектированная для транспортировки тяжёлых и габаритных грузов. Незаменима в хозяйстве: будь то перевозка грунта, строительных материалов, дров, компоста или урожая — «Титан 120» справится с любой задачей. Конструкция с двумя пневматическими колёсами обеспечивает повышенную устойчивость и облегчает передвижение даже по рыхлому или неровному грунту.

Корпус изготовлен из оцинкованной стали, защищённой от ржавчины и механических повреждений. Усиленное дно выдерживает большие нагрузки, а эргономичные рукоятки с прорезиненными накладками обеспечивают надёжный хват и комфорт при работе.

Технические характеристики:
	•	Тип: садовая тачка
	•	Объём корыта: 120 литров
	•	Грузоподъёмность: до 200 кг
	•	Материал корыта: оцинкованная сталь (толщина 1.0 мм)
	•	Колёса: 2 пневматических (диаметр 38 см)
	•	Материал рамы: стальная труба, порошковая окраска
	•	Длина: 145 см
	•	Ширина: 60 см
	•	Вес: 14 кг
	•	Производитель: Титан Хаус Индастриз

Сочетает в себе надёжность, объём и устойчивость. Идеальный выбор для тех, кто ценит качество и практичность в мелкой сельхозтехнике.",Товары для дачи,1041,Да,3.1,3,CCC-2222,GardenPro,Германия
5,Мотыга,"🔨 Мотыга садовая «Земледел» — точность и надёжность в каждом взмахе

Мотыга «Земледел» — это классический инструмент для настоящего садовода. Она создана для рыхления, окучивания, удаления сорняков и подготовки почвы к посадке. Эргономичный дизайн, высокопрочные материалы и идеальный баланс делают эту мотыгу незаменимой на любом дачном участке.

Рабочая часть изготовлена из закалённой углеродистой стали с антикоррозийным покрытием, что обеспечивает долгий срок службы и устойчивость к ржавчине. Деревянная ручка тщательно отшлифована, покрыта лаком и удобно ложится в руку, снижая усталость при длительной работе.

Технические характеристики:
	•	Материал рабочей части: закалённая сталь
	•	Покрытие: антикоррозийное защитное
	•	Ширина лезвия: 14 см
	•	Длина черенка: 120 см
	•	Материал черенка: древесина (ясень), покрытая защитным лаком
	•	Вес: 850 г
	•	Тип крепления: надёжное металлическое гнездо без люфта

Преимущества:
	•	Острые грани лезвия легко входят в почву, облегчая рыхление.
	•	Надёжная сборка — ничего не шатается, не выпадает.
	•	Долговечность: выдерживает большие нагрузки, не деформируется.
	•	Идеальна как для лёгкой, так и для тяжёлой почвы.

Мотыга «Земледел» — это классика, проверенная временем. Используйте то, что действительно работает.",Товары для дачи,1605,Нет,3.6,103,AAA-0000,ТехноТулс,Китай
6,Тачка,"🛒 Тачка садовая двухколёсная «Титан 120»

Мощная и устойчивая садовая тачка, спроектированная для транспортировки тяжёлых и габаритных грузов. Незаменима в хозяйстве: будь то перевозка грунта, строительных материалов, дров, компоста или урожая — «Титан 120» справится с любой задачей. Конструкция с двумя пневматическими колёсами обеспечивает повышенную устойчивость и облегчает передвижение даже по рыхлому или неровному грунту.

Корпус изготовлен из оцинкованной стали, защищённой от ржавчины и механических повреждений. Усиленное дно выдерживает большие нагрузки, а эргономичные рукоятки с прорезиненными накладками обеспечивают надёжный хват и комфорт при работе.

Технические характеристики:
	•	Тип: садовая тачка
	•	Объём корыта: 120 литров
	•	Грузоподъёмность: до 200 кг
	•	Материал корыта: оцинкованная сталь (толщина 1.0 мм)
	•	Колёса: 2 пневматических (диаметр 38 см)
	•	Материал рамы: стальная труба, порошковая окраска
	•	Длина: 145 см
	•	Ширина: 60 см
	•	Вес: 14 кг
	•	Производитель: Титан Хаус Индастриз

Сочетает в себе надёжность, объём и устойчивость. Идеальный выбор для тех, кто ценит качество и практичность в мелкой сельхозтехнике.",Товары для дачи,1240,Да,3.9,734,DDD-3333,Зелёный Дом,Германия
7,Теплица,"🌱 Теплица «Урожай-6» — ваш надёжный союзник в борьбе за богатый урожай

Теплица «Урожай-6» — это прочная и функциональная конструкция, предназначенная для круглогодичного выращивания овощей, зелени, рассады и даже цветов. Она создаёт идеальный микроклимат для растений, защищая их от неблагоприятных погодных условий: ветра, дождя, града и заморозков.

Каркас выполнен из оцинкованной стали, устойчив к коррозии и рассчитан на многолетнее использование без дополнительной обработки. Покрытие — сотовый поликарбонат толщиной 4 мм, который хорошо удерживает тепло, пропускает свет и служит естественным фильтром от ультрафиолета.

Характеристики:
	•	Габариты: 3 м (ширина) × 6 м (длина) × 2 м (высота в коньке)
	•	Площадь теплицы: 18 м²
	•	Каркас: оцинкованный профиль 20×20 мм
	•	Покрытие: поликарбонат 4 мм, светопропускаемость до 85%
	•	Ветростойкость: до 24 м/с
	•	Снеговая нагрузка: до 120 кг/м²
	•	Двери и форточки: по 2 с каждой стороны (для вентиляции)
	•	Срок службы: до 15 лет

Преимущества:
	•	Простая сборка без сварки и специнструментов — все крепления в комплекте.
	•	Укреплённый каркас выдерживает снежные зимы и сильный ветер.
	•	Защищает урожай от насекомых, болезней и перепадов температур.
	•	Оптимальная высота — удобно работать внутри, не сгибаясь.
	•	Возможно удлинение теплицы кратно 2 метрам — под ваши задачи.

«Урожай-6» — это не просто теплица, это миниатюрная ферма прямо у вас на участке. Создайте свой островок плодородия и стабильности, независимо от погодных капризов.
",Товары для дачи,3222,Нет,3.0,646,BBB-1111,GardenPro,Китай
8,Мотыга,"🔨 Мотыга садовая «Земледел» — точность и надёжность в каждом взмахе

Мотыга «Земледел» — это классический инструмент для настоящего садовода. Она создана для рыхления, окучивания, удаления сорняков и подготовки почвы к посадке. Эргономичный дизайн, высокопрочные материалы и идеальный баланс делают эту мотыгу незаменимой на любом дачном участке.

Рабочая часть изготовлена из закалённой углеродистой стали с антикоррозийным покрытием, что обеспечивает долгий срок службы и устойчивость к ржавчине. Деревянная ручка тщательно отшлифована, покрыта лаком и удобно ложится в руку, снижая усталость при длительной работе.

Технические характеристики:
	•	Материал рабочей части: закалённая сталь
	•	Покрытие: антикоррозийное защитное
	•	Ширина лезвия: 14 см
	•	Длина черенка: 120 см
	•	Материал черенка: древесина (ясень), покрытая защитным лаком
	•	Вес: 850 г
	•	Тип крепления: надёжное металлическое гнездо без люфта

Преимущества:
	•	Острые грани лезвия легко входят в почву, облегчая рыхление.
	•	Надёжная сборка — ничего не шатается, не выпадает.
	•	Долговечность: выдерживает большие нагрузки, не деформируется.
	•	Идеальна как для лёгкой, так и для тяжёлой почвы.

Мотыга «Земледел» — это классика, проверенная временем. Используйте то, что действительно работает.",Товары для дачи,4498,Нет,3.4,88,DDD-3333,GardenPro,Россия
9,Лопата,"🛠️ Лопата штыковая усиленная «Грунт-Мастер 2.0»

Надёжная и универсальная лопата, которая станет незаменимым инструментом на любом садовом или строительном участке. Штыковая форма рабочей части позволяет с лёгкостью копать, подрезать корни, переносить грунт и выполнять множество других задач. Благодаря специально закалённой стали и усиленной конструкции, лопата выдерживает высокие нагрузки и не деформируется при работе с тяжёлым грунтом или глиной.

Лезвие имеет заострённую кромку для лучшего проникновения в землю, а дополнительная ребристая структура усиливает прочность и устойчивость к изгибу. Черенок выполнен из твёрдой древесины и покрыт влагостойким лаком, а Т-образная рукоятка способствует удобному захвату и снижению нагрузки на запястья.

Технические характеристики:
	•	Тип: штыковая
	•	Материал лезвия: углеродистая сталь с антикоррозийным покрытием
	•	Ширина лезвия: 21 см
	•	Длина инструмента: 120 см
	•	Черенок: дерево (ясень), лакированный
	•	Тип рукоятки: Т-образная
	•	Вес: 1.2 кг
	•	Производитель: Грунт-Мастер
	•	Гарантия: 3 года

Лопата отлично подойдёт как для сезонных работ на даче, так и для регулярного использования в условиях повышенной нагрузки. Простая в обслуживании, устойчивая к коррозии и сколам.",Товары для дачи,4471,Да,4.5,910,AAA-0000,GardenPro,Германия
10,Фонарик уличный,"🔦 Уличный фонарик «СветЛайт PRO» — автономное освещение нового поколения

Забудьте о проводах, счетах за электричество и темных уголках на участке — с уличным фонариком «СветЛайт PRO» вы получаете надёжный, экономичный и стильный источник света, который работает от солнечной энергии. Он автоматически заряжается днем и включается, когда стемнеет — полный комфорт без вашего участия.

Фонарик отлично подойдёт для освещения дорожек, двора, входной группы, террасы, беседки или даже парковки. Ударопрочный, влагозащищённый и с современным дизайном, он легко впишется в любой экстерьер.

Технические характеристики:
	•	Источник питания: солнечная панель + аккумулятор 2400 мАч
	•	Тип света: LED, холодный белый (6000K)
	•	Световой поток: 500 люмен
	•	Время автономной работы: до 10 часов
	•	Материал корпуса: анодированный алюминий + закалённое стекло
	•	Класс влагозащиты: IP65 — не боится дождя и снега
	•	Встроенный датчик освещённости и движения
	•	Крепление: на стену / столб / перила (универсальный комплект в наборе)

Преимущества:
	•	Полностью автономная работа: не требует подключения к сети.
	•	Умное освещение: включается при движении или наступлении темноты.
	•	Экономия: бесплатная энергия солнца, не нужно менять батарейки.
	•	Прочный корпус: выдерживает морозы, жару, ветер и удары.
	•	Простая установка за 5 минут: без инструментов и кабелей.
	•	Современный минималистичный дизайн.

С «СветЛайт PRO» вы не только делаете участок уютнее и безопаснее, но и заботитесь об экологии. Идеальное решение для тех, кто ценит практичность, стиль и энергонезависимость.",Товары для дачи,1322,Нет,4.3,649,BBB-1111,GardenPro,Китай
